ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,name_key,lat,long,overall_score,performance_level
179,Williamsburg Preparatory School,Brooklyn,K650,443,440,430,87.8,williamsburg preparatory school,40.715073,-73.954754,438,High Performance
180,Frederick Douglass Academy VII High School,Brooklyn,K175,400,407,394,65.4,frederick douglass academy vii high school,40.665878,-73.911705,400,Medium Performance
181,Teachers Preparatory High School,Brooklyn,K175,394,399,412,56.6,teachers preparatory high school,40.665878,-73.911705,402,Medium Performance
182,Academy for Health Careers,Brooklyn,K625,406,405,396,48.1,academy for health careers,40.675612,-73.938843,402,Medium Performance
183,High School of Sports Management,Brooklyn,K400,367,374,361,56.2,high school of sports management,40.594291,-73.98577,367,Low Performance
184,Brooklyn Studio Secondary School,Brooklyn,K721,458,434,434,67.8,brooklyn studio secondary school,40.604879,-73.994404,442,High Performance
185,International High School at Lafayette,Brooklyn,K400,424,343,337,84.3,international high school at lafayette,40.594291,-73.98577,368,Low Performance
186,New Utrecht High School,Brooklyn,K445,488,422,417,63.2,new utrecht high school,40.613262,-74.003404,442,High Performance
187,Life Academy High School for Film and Music,Brooklyn,K400,369,379,378,70.2,life academy high school for film and music,40.594291,-73.98577,375,Low Performance
188,Kingsborough Early College School,Brooklyn,K400,474,462,449,65.8,kingsborough early college school,40.594291,-73.98577,462,High Performance
189,Secondary School for Journalism,Brooklyn,K460,408,435,415,58.8,secondary school for journalism,40.669629,-73.979287,419,Medium Performance
190,Park Slope Collegiate,Brooklyn,K460,405,377,395,59.6,park slope collegiate,40.669629,-73.979287,392,Low Performance
191,Secondary School for Law,Brooklyn,K460,420,424,414,74.7,secondary school for law,40.669629,-73.979287,419,Medium Performance
192,Bedford Academy High School,Brooklyn,K994,505,464,456,96.2,bedford academy high school,40.68538,-73.954302,475,High Performance
193,Brooklyn High School of the Arts,Brooklyn,K655,439,441,436,80.6,brooklyn high school of the arts,40.683559,-73.98027,439,High Performance
194,Brooklyn Technical High School,Brooklyn,K430,682,608,606,95.5,brooklyn technical high school,40.688834,-73.976905,632,High Performance
195,Brooklyn College Academy,Brooklyn,K917,502,495,493,98.1,brooklyn college academy,40.649404,-73.971736,497,High Performance
196,Brooklyn High School for Law and Technology,Brooklyn,K987,395,401,383,62.7,brooklyn high school for law and technology,40.688831,-73.920906,393,Medium Performance
197,Automotive High School,Brooklyn,K610,367,381,328,31.6,automotive high school,40.721981,-73.953281,359,Low Performance
198,Frances Perkins Academy,Brooklyn,K610,399,413,400,46.3,frances perkins academy,40.721981,-73.953281,404,Medium Performance
199,John Dewey High School,Brooklyn,K540,512,418,396,62.7,john dewey high school,40.589268,-73.981738,442,High Performance
200,Rachel Carson High School for Coastal Studies,Brooklyn,K303,436,430,421,68.4,rachel carson high school for coastal studies,40.582533,-73.973132,429,Medium Performance
201,Brooklyn Academy of Science and the Environment,Brooklyn,K440,419,411,416,58.5,brooklyn academy of science and the environment,40.670349,-73.961695,415,Medium Performance
202,Medgar Evers College Preparatory School,Brooklyn,K590,525,500,481,89.0,medgar evers college preparatory school,40.667195,-73.951167,502,High Performance
203,Clara Barton High School,Brooklyn,K600,408,424,407,55.0,clara barton high school,40.669567,-73.961962,413,Medium Performance
204,International High School at Prospect Heights,Brooklyn,K440,344,302,300,81.7,international high school at prospect heights,40.670349,-73.961695,315,Low Performance
205,Academy of Hospitality and Tourism,Brooklyn,K465,374,385,375,62.0,academy of hospitality and tourism,40.649787,-73.95855,378,Low Performance
206,James Madison High School,Brooklyn,K425,492,450,444,69.0,james madison high school,40.609912,-73.948512,462,High Performance
207,Edward R. Murrow High School,Brooklyn,K525,500,479,472,75.2,edward r. murrow high school,40.620525,-73.959285,484,High Performance
208,Sunset Park High School,Brooklyn,K564,398,380,381,61.6,sunset park high school,40.65571,-74.005197,386,Low Performance
209,Gotham Professional Arts Academy,Brooklyn,K040,377,396,386,50.7,gotham professional arts academy,40.680463,-73.922264,386,Low Performance
210,Leon M. Goldstein High School for the Sciences,Brooklyn,K535,563,534,543,94.0,leon m. goldstein high school for the sciences,40.580894,-73.935952,547,High Performance
211,Abraham Lincoln High School,Brooklyn,K410,441,422,422,54.9,abraham lincoln high school,40.581681,-73.967308,428,Medium Performance
212,Urban Action Academy,Brooklyn,K500,362,396,393,44.9,urban action academy,40.641474,-73.898254,384,Low Performance
213,Brooklyn Generation School,Brooklyn,K515,392,406,403,50.0,brooklyn generation school,40.633285,-73.916735,400,Medium Performance
214,High School for Medical Professions,Brooklyn,K500,404,427,424,60.2,high school for medical professions,40.641474,-73.898254,418,Medium Performance
215,Victory Collegiate High School,Brooklyn,K515,386,408,402,72.7,victory collegiate high school,40.633285,-73.916735,399,Medium Performance
216,Brooklyn Theatre Arts High School,Brooklyn,K515,379,393,373,69.1,brooklyn theatre arts high school,40.633285,-73.916735,382,Low Performance
217,Academy for Conservation and the Environment,Brooklyn,K515,381,397,390,50.8,academy for conservation and the environment,40.633285,-73.916735,389,Low Performance
218,All City Leadership Secondary School,Brooklyn,K554,467,446,448,85.0,all city leadership secondary school,40.69737,-73.913171,454,High Performance
219,Bushwick School for Social Justice,Brooklyn,K480,365,357,357,50.0,bushwick school for social justice,40.69697,-73.910791,360,Low Performance
220,Academy for Environmental Leadership,Brooklyn,K480,365,366,348,71.3,academy for environmental leadership,40.69697,-73.910791,360,Low Performance
221,Academy of Urban Planning,Brooklyn,K480,392,374,379,41.9,academy of urban planning,40.69697,-73.910791,382,Low Performance
222,ACORN Community High School,Brooklyn,K909,379,395,385,61.3,acorn community high school,40.678488,-73.962105,386,Low Performance
223,East-West School of International Studies,Queens,Q237,521,457,451,89.4,east-west school of international studies,40.749545,-73.822073,476,High Performance
224,Flushing International High School,Queens,Q189,481,323,323,67.7,flushing international high school,40.759844,-73.820548,376,Low Performance
