ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,lat,long
152,Brooklyn School for Global Studies,Brooklyn,K293,393,381,402,61.8,40.685419,-73.993351
153,Cobble Hill School of American Studies,Brooklyn,K804,416,420,402,55.3,40.684524,-73.990993
154,Urban Assembly High School of Music and Art,Brooklyn,K805,372,372,361,55.1,40.697339,-73.985016
155,Cultural Academy for the Arts and Sciences,Brooklyn,K415,382,395,384,57.3,40.648657,-73.922171
156,Kurt Hahn Expeditionary Learning School,Brooklyn,K415,378,394,388,72.6,40.648657,-73.922171
157,It Takes a Village Academy,Brooklyn,K415,364,374,361,62.2,40.648657,-73.922171
158,Urban Assembly School for Criminal Justice,Brooklyn,K223,428,413,417,83.6,40.634875,-73.981528
159,Franklin Delano Roosevelt High School,Brooklyn,K505,504,411,407,54.0,40.620446,-73.981795
160,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,K265,332,346,350,55.1,40.696324,-73.97578
161,Benjamin Banneker Academy,Brooklyn,K914,479,484,472,85.5,40.695332,-73.969243
162,Juan Morel Campos Secondary School,Brooklyn,K071,366,356,353,56.3,40.703624,-73.953146
163,Green School: An Academy for Environmental Careers,Brooklyn,K049,384,398,399,41.1,40.709941,-73.943641
164,Lyons Community School,Brooklyn,K049,374,376,357,56.3,40.709941,-73.943641
165,FDNY High School for Fire and Life Safety,Brooklyn,K435,365,369,357,47.7,40.667456,-73.894747
166,High School for Civil Rights,Brooklyn,K435,391,373,376,26.4,40.667456,-73.894747
167,Performing Arts and Technology High School,Brooklyn,K435,375,393,394,39.8,40.667456,-73.894747
168,East New York Family Academy,Brooklyn,K819,464,451,421,66.7,40.661072,-73.886942
169,Brooklyn Lab School,Brooklyn,K420,383,376,370,46.8,40.691146,-73.868328
170,Cypress Hills Collegiate Preparatory School,Brooklyn,K420,365,370,362,53.8,40.691146,-73.868328
171,Academy for Young Writers,Brooklyn,K422,382,413,391,81.2,40.657459,-73.874756
172,Academy of Innovative Technology,Brooklyn,K420,395,376,359,57.4,40.691146,-73.868328
173,Fort Hamilton High School,Brooklyn,K490,513,456,451,68.7,40.627835,-74.040046
174,Midwood High School,Brooklyn,K405,550,514,516,85.7,40.633237,-73.952929
175,PROGRESS High School for Professional Careers,Brooklyn,K450,380,377,384,44.9,40.712184,-73.939722
176,Brooklyn Preparatory High School,Brooklyn,K650,391,406,391,74.5,40.715073,-73.954754
177,El Puente Academy for Peace and Justice,Brooklyn,K778,344,380,379,62.5,40.705898,-73.955611
178,School for Legal Studies,Brooklyn,K450,393,390,394,34.8,40.712184,-73.939722
179,Williamsburg Preparatory School,Brooklyn,K650,443,440,430,87.8,40.715073,-73.954754
180,Frederick Douglass Academy VII High School,Brooklyn,K175,400,407,394,65.4,40.665878,-73.911705
181,Teachers Preparatory High School,Brooklyn,K175,394,399,412,56.6,40.665878,-73.911705
182,Academy for Health Careers,Brooklyn,K625,406,405,396,48.1,40.675612,-73.938843
183,High School of Sports Management,Brooklyn,K400,367,374,361,56.2,40.594291,-73.98577
184,Brooklyn Studio Secondary School,Brooklyn,K721,458,434,434,67.8,40.604879,-73.994404
185,International High School at Lafayette,Brooklyn,K400,424,343,337,84.3,40.594291,-73.98577
186,New Utrecht High School,Brooklyn,K445,488,422,417,63.2,40.613262,-74.003404
187,Life Academy High School for Film and Music,Brooklyn,K400,369,379,378,70.2,40.594291,-73.98577
188,Kingsborough Early College School,Brooklyn,K400,474,462,449,65.8,40.594291,-73.98577
189,Secondary School for Journalism,Brooklyn,K460,408,435,415,58.8,40.669629,-73.979287
190,Park Slope Collegiate,Brooklyn,K460,405,377,395,59.6,40.669629,-73.979287
191,Secondary School for Law,Brooklyn,K460,420,424,414,74.7,40.669629,-73.979287
192,Bedford Academy High School,Brooklyn,K994,505,464,456,96.2,40.68538,-73.954302
193,Brooklyn High School of the Arts,Brooklyn,K655,439,441,436,80.6,40.683559,-73.98027
194,Brooklyn Technical High School,Brooklyn,K430,682,608,606,95.5,40.688834,-73.976905
195,Brooklyn College Academy,Brooklyn,K917,502,495,493,98.1,40.649404,-73.971736
196,Brooklyn High School for Law and Technology,Brooklyn,K987,395,401,383,62.7,40.688831,-73.920906
197,Automotive High School,Brooklyn,K610,367,381,328,31.6,40.721981,-73.953281
198,Frances Perkins Academy,Brooklyn,K610,399,413,400,46.3,40.721981,-73.953281
199,John Dewey High School,Brooklyn,K540,512,418,396,62.7,40.589268,-73.981738
200,Rachel Carson High School for Coastal Studies,Brooklyn,K303,436,430,421,68.4,40.582533,-73.973132
201,Brooklyn Academy of Science and the Environment,Brooklyn,K440,419,411,416,58.5,40.670349,-73.961695
202,Medgar Evers College Preparatory School,Brooklyn,K590,525,500,481,89.0,40.667195,-73.951167
203,Clara Barton High School,Brooklyn,K600,408,424,407,55.0,40.669567,-73.961962
204,International High School at Prospect Heights,Brooklyn,K440,344,302,300,81.7,40.670349,-73.961695
205,Academy of Hospitality and Tourism,Brooklyn,K465,374,385,375,62.0,40.649787,-73.95855
206,James Madison High School,Brooklyn,K425,492,450,444,69.0,40.609912,-73.948512
207,Edward R. Murrow High School,Brooklyn,K525,500,479,472,75.2,40.620525,-73.959285
208,Sunset Park High School,Brooklyn,K564,398,380,381,61.6,40.65571,-74.005197
209,Gotham Professional Arts Academy,Brooklyn,K040,377,396,386,50.7,40.680463,-73.922264
210,Leon M. Goldstein High School for the Sciences,Brooklyn,K535,563,534,543,94.0,40.580894,-73.935952
211,Abraham Lincoln High School,Brooklyn,K410,441,422,422,54.9,40.581681,-73.967308
212,Urban Action Academy,Brooklyn,K500,362,396,393,44.9,40.641474,-73.898254
213,Brooklyn Generation School,Brooklyn,K515,392,406,403,50.0,40.633285,-73.916735
214,High School for Medical Professions,Brooklyn,K500,404,427,424,60.2,40.641474,-73.898254
215,Victory Collegiate High School,Brooklyn,K515,386,408,402,72.7,40.633285,-73.916735
216,Brooklyn Theatre Arts High School,Brooklyn,K515,379,393,373,69.1,40.633285,-73.916735
217,Academy for Conservation and the Environment,Brooklyn,K515,381,397,390,50.8,40.633285,-73.916735
218,All City Leadership Secondary School,Brooklyn,K554,467,446,448,85.0,40.69737,-73.913171
219,Bushwick School for Social Justice,Brooklyn,K480,365,357,357,50.0,40.69697,-73.910791
220,Academy for Environmental Leadership,Brooklyn,K480,365,366,348,71.3,40.69697,-73.910791
221,Academy of Urban Planning,Brooklyn,K480,392,374,379,41.9,40.69697,-73.910791
222,ACORN Community High School,Brooklyn,K909,379,395,385,61.3,40.678488,-73.962105
223,East-West School of International Studies,Queens,Q237,521,457,451,89.4,40.749545,-73.822073
224,Flushing International High School,Queens,Q189,481,323,323,67.7,40.759844,-73.820548
225,Bayside High School,Queens,Q405,523,479,485,76.7,40.771755,-73.780296
226,Benjamin N. Cardozo High School,Queens,Q415,563,505,510,75.6,40.752333,-73.75599
227,Francis Lewis High School,Queens,Q430,562,483,485,80.7,40.740724,-73.79283
228,Robert F. Kennedy Community High School,Queens,Q707,460,426,423,67.3,40.725603,-73.810697
229,John Bowne High School,Queens,Q425,467,422,425,62.1,40.738139,-73.824944
230,Townsend Harris High School,Queens,Q515,680,640,661,97.1,40.73439,-73.821392
231,High School for Arts and Business,Queens,Q456,413,405,393,76.7,40.737427,-73.853178
232,Civic Leadership Academy,Queens,Q744,435,424,418,68.9,40.74373,-73.870642
233,Maspeth High School,Queens,Q585,476,471,480,90.0,40.729939,-73.887482
234,Pan American International High School,Queens,Q744,340,320,318,31.9,40.74373,-73.870642
235,Newtown High School,Queens,Q455,434,401,389,39.1,40.741122,-73.874721
236,Forest Hills High School,Queens,Q440,517,485,483,72.8,40.729402,-73.845637
237,Queens Metropolitan High School,Queens,Q686,460,448,449,76.4,40.711367,-73.856698
238,Grover Cleveland High School,Queens,Q485,452,422,416,38.9,40.711033,-73.908814
239,Excelsior Preparatory High School,Queens,Q420,384,407,400,70.1,40.668235,-73.756839
240,Queens Preparatory Academy,Queens,Q420,423,422,403,83.7,40.668235,-73.756839
241,John Adams High School,Queens,Q480,418,401,395,38.4,40.679639,-73.837298
242,Richmond Hill High School,Queens,Q475,413,406,399,37.9,40.695888,-73.833681
243,Cambria Heights Academy,Queens,Q799,418,424,411,58.5,40.711849,-73.771195
244,Martin Van Buren High School,Queens,Q435,397,396,391,40.0,40.733066,-73.738756
245,Queens Gateway to Health Sciences Secondary School,Queens,Q695,524,511,514,92.5,40.718831,-73.806499
246,Jamaica Gateway to the Sciences,Queens,Q470,487,460,463,78.6,40.713218,-73.797237
247,High School for Community Leadership,Queens,Q470,415,392,386,72.3,40.713218,-73.797237
248,York Early College Academy,Queens,Q008,496,481,473,92.9,40.69719,-73.787192
249,High School for Law Enforcement and Public Safety,Queens,Q690,410,431,409,56.6,40.686208,-73.784144
250,August Martin High School,Queens,Q400,366,372,364,26.3,40.675633,-73.783342
251,Frederick Douglass Academy VI High School,Queens,Q465,410,418,407,30.1,40.60201,-73.762795
252,Channel View School for Research,Queens,Q410,427,430,423,76.6,40.586066,-73.822624
253,Rockaway Collegiate High School,Queens,Q410,399,403,405,46.5,40.586066,-73.822624
254,Scholars' Academy,Queens,Q180,588,560,568,99.2,40.584109,-73.825711
