school,lat,long
J.H.S. 123 James M. Kieran,40.825403,-73.873666
P.S. 310 Marble Hill,40.872895,-73.905244
P.S. 121 Throop,40.86608,-73.850982
M.S. 301 Paul L. Dunbar,40.822474,-73.907194
P.S. 119,40.828518,-73.856569
MS 118(XW),40.848339,-73.89308
1865 MORRIS AVENUE CONSOLIDATED LOCATION,40.848516,-73.908427
Young Women's Leadership School of the Bronx,40.848516,-73.908427
I.S. 117 Joseph H. Wade,40.848516,-73.908427
977 FOX STREET CONSOLIDATED LOCATION,40.822443,-73.893902
South Bronx Classical Charter School,40.822443,-73.893902
Entrada Academy,40.822443,-73.893902
School of Performing Arts,40.822443,-73.893902
120 EAST 184 STREET CONSOLIDATED LOCATION,40.859752,-73.900161
East Fordham Academy for the Arts,40.859752,-73.900161
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,40.859752,-73.900161
1025 MORRISON AVENUE CONSOLIDATED LOCATION,40.825403,-73.873666
P.S. X114 - Luis Llorens Torres Schools,40.834749,-73.923081
3710 BARNES AVENUE CONSOLIDATED LOCATION,40.880873,-73.860904
School of Diplomacy,40.880873,-73.860904
The Young Scholars Academy of The Bronx,40.880873,-73.860904
The Forward School,40.880873,-73.860904
Globe School for Environmental Research,40.880873,-73.860904
P.S. 112 Bronxwood,40.885008,-73.843193
P.S. 111 Seton Falls,40.884343,-73.840254
580 CROTONA PARK SOUTH CONSOLIDATED LOCATION,40.835286,-73.900751
Mott Hall III,40.835286,-73.900751
P.S. 110 Theodore Schoenfeld,40.835286,-73.900751
P.S. 109 Sedgwick,40.851414,-73.918533
P.S. 107,40.818467,-73.868372
P.S. 106 Parkchester,40.837524,-73.8548
P.S. 105 Sen Abraham Bernstein,40.852398,-73.866617
P.S. 199X - The Shakespeare School,40.842943,-73.920563
P.S. 103 Hector Fontanez,40.892151,-73.861466
1827 ARCHER STREET CONSOLIDATED LOCATION,40.837631,-73.866036
Bronx Little School,40.837631,-73.866036
PS 536,40.837631,-73.866036
Archer Elementary School,40.837631,-73.866036
2750 LAFAYETTE AVENUE CONSOLIDATED LOCATION,40.827471,-73.829753
P.S. X010,40.827471,-73.829753
P.S. 304 Early Childhood School,40.827471,-73.829753
M.S. X101 Edward R. Byrne,40.827471,-73.829753
P.S. 100 Isaac Clason,40.821409,-73.862976
1180 REV. J.A. POLITE AVE. CONSOLIDATED LOCATION,40.827315,-73.897612
Peace and Diversity Academy,40.827315,-73.897612
"Metropolitan High School, The",40.827315,-73.897612
1619 BOSTON ROAD CONSOLIDATED LOCATION,40.8359,-73.890458
Bronx Envision Academy,40.8359,-73.890458
Explorations Academy,40.8359,-73.890458
J.H.S. 098 Herman Ridder,40.8359,-73.890458
P.S. 097 Bronx,40.862839,-73.846791
P.S. 096 Richard Rodgers,40.861371,-73.869296
3961 HILLMAN AVENUE CONSOLIDATED LOCATION,40.882898,-73.891256
Ampark Neighborhood,40.882898,-73.891256
P.S. 095 Sheila Mencher,40.882898,-73.891256
P.S. 094 Kings College School,40.880522,-73.87572
P.S. 093 Albert G. Oliver,40.821776,-73.876918
P.S. 092 Bronx,40.846711,-73.889815
P.S. 091 Bronx,40.858103,-73.907972
1116 SHERIDAN AVENUE CONSOLIDATED LOCATION ,40.831992,-73.91796
Sheridan Academy for Young Leaders,40.831992,-73.91796
P.S. 108 Philip J. Abinanti,40.854726,-73.853227
The Family School,40.831992,-73.91796
P.S. 089 Bronx,40.863055,-73.859387
P.S. X088 - S. Silverstein Little Sparrow School,40.837275,-73.913574
P.S. 087 Bronx,40.895104,-73.845968
P.S. 086 Kingsbridge Heights,40.869835,-73.89874
P.S. 085 Great Expectations,40.8591,-73.894946
P.S. X811,40.830589,-73.887587
P.S. 083 Donald Hertz,40.849395,-73.859249
1700 MACOMBS ROAD CONSOLIDATED LOCATION,40.849623,-73.91607
Academy for Language and Technology,40.849623,-73.91607
I.S. X303 Leadership & Community Service,40.849623,-73.91607
I.S. 232,40.849623,-73.91607
P.S. 081 Robert J. Christen,40.903553,-73.905229
3202 STEUBEN AVENUE CONSOLIDATED LOCATION,40.877202,-73.881773
P.S./M.S. 280 Mosholu Parkway,40.877202,-73.881773
125 EAST 181 STREET CONSOLIDATED LOCATION,40.854872,-73.903458
Creston Academy,40.854872,-73.903458
School for Environmental Citizenship,40.854872,-73.903458
"Elementary School for Math, Science, and Technolog",40.854872,-73.903458
P.S. 078 Anne Hutchinson,40.878577,-73.851163
1250 WARD AVENUE CONSOLIDATED LOCATION,40.830691,-73.877743
P.S. 196,40.830691,-73.877743
P.S. 195,40.830691,-73.877743
P.S. 076 The Bennington School,40.869593,-73.861282
P.S. 75 School of Research and Discovery,40.822719,-73.889435
730 BRYANT AVENUE CONSOLIDATED LOCATION ,40.815477,-73.88577
Hyde Leadership Charter School,40.815477,-73.88577
The Hunts Point School,40.815477,-73.88577
P.S. 073 Bronx,40.832706,-73.926838
P.S. 072 Dr. William Dorney,40.822604,-73.818247
P.S. 071 Rose E. Scala,40.845787,-73.829829
P.S. 070 Max Schoenfeld,40.844253,-73.907616
P.S. 069 Journey Prep School,40.816693,-73.860904
P.S. 068 Bronx,40.891732,-73.838471
2024 MOHEGAN AVENUE CONSOLIDATED LOCATION,40.843945,-73.884788
Urban Assembly School for Wildlife Conservation,40.843945,-73.884788
P.S. 067 Mohegan School,40.843945,-73.884788
1001 JENNINGS STREET CONSOLIDATED LOCATION,40.831165,-73.887094
Fannie Lou Hamer Middle School,40.831165,-73.887094
P.S. 066 School of Higher Expectations,40.831165,-73.887094
P.S. 065 Mother Hale Academy,40.807335,-73.912731
1425 WALTON AVENUE CONSOLIDATED LOCATION,40.840096,-73.915569
Lucero Elementary School,40.840096,-73.915569
The Walton Avenue School,40.840096,-73.915569
P.S. 064 Pura Belpre,40.840096,-73.915569
P.S. 063 Author's Academy,40.830995,-73.902705
P.S. 062 Inocensio Casanova,40.814031,-73.900609
1550 CROTONA PARK EAST CONSOLIDATED LOCATION,40.836575,-73.892817
E.S.M.T- I.S. 190,40.836575,-73.892817
P.S. 061 Francisco Oller,40.836575,-73.892817
888 REV J A POLITE AVE CONSOLIDATED LOCATION,40.820403,-73.898912
The Academy of the Arts,40.820403,-73.898912
P.S. 333 - The Museum School,40.820403,-73.898912
P.S. 059 The Community School of Technology,40.852774,-73.893524
P.S. 058,40.846162,-73.899264
2111 CROTONA AVENUE CONSOLIDATED LOCATION,40.848472,-73.888561
Frederick Douglass Academy V. Middle School,40.848472,-73.888561
P.S. 057 Crescent,40.848472,-73.888561
BAYCHESTER ACADEMY,40.881153,-73.839755
P.S. 055 Benjamin Franklin,40.836404,-73.905014
P.S. / I.S. 54,40.864527,-73.887829
P.S. 053 Basheer Quisim,40.832866,-73.911418
1550 VYSE AVENUE CONSOLIDATED LOCATION,40.834157,-73.887512
Samara Community School,40.834157,-73.887512
Fairmont Neighborhood School,40.834157,-73.887512
P.S. 050 Clara Barton,40.834157,-73.887512
P.S. 049 Willis Avenue,40.810085,-73.923102
P.S. 046 Edgar Allan Poe,40.866827,-73.890725
Thomas C. Giordano Middle School 45,40.859034,-73.886913
1825 PROSPECT AVENUE CONSOLIDATED LOCATION,40.842084,-73.891116
Accion Academy,40.842084,-73.891116
P.S. 044 David C. Farragut,40.842084,-73.891116
P.S. 043 Jonas Bronck,40.806351,-73.921196
P.S. 042 Claremont,40.838288,-73.902987
P.S. 041 Gun Hill Road,40.874313,-73.868157
468 EAST 140 STREET CONSOLIDATED LOCATION,40.809534,-73.919903
Young Leaders Elementary School,40.809534,-73.919903
P.S. 179,40.809534,-73.919903
965 LONGWOOD AVENUE CONSOLIDATED LOCATION,40.817512,-73.898212
Banana Kelly High School,40.817512,-73.898212
Holcombe L. Rucker School of Community Research,40.817512,-73.898212
P.S. X037 - Multiple Intelligence School,40.880263,-73.910466
P.S. 036 Unionport,40.829344,-73.850428
P.S. 035 Franz Siegel,40.827304,-73.91767
P.S. X188,40.850561,-73.883743
P.S. 033 Timothy Dwight,40.86185,-73.90176
P.S. 032 Belmont,40.852103,-73.885935
P.S. 030 Wilton,40.80937,-73.917584
P.S./M.S. 029 Melrose School,40.821515,-73.917279
P.S. 028 Mount Hope,40.848057,-73.903522
P.S. 277,40.813517,-73.913402
1930 ANDREWS AVENUE CONSOLIDATED LOCATION,40.854701,-73.913197
P.S. 048 Joseph R. Drake,40.814425,-73.886953
P.S. 396,40.854701,-73.913197
M.S. 390,40.854701,-73.913197
P.S. 025 Bilingual School,40.812619,-73.906063
P.S. 024 Spuyten Duyvil,40.887111,-73.913697
270 EAST 167 STREET CONSOLIDATED LOCATION,40.833131,-73.914027
Bronx Writing Academy,40.833131,-73.914027
J.H.S. 022 Jordan L. Mott,40.833131,-73.914027
P.S. 021 Philip H. Sheridan,40.887582,-73.859733
"PS/MS 20 P.O.George J. Werdann, III",40.870002,-73.878875
P.S. 019 Judith K. Weiss,40.899295,-73.8675
P.S. 018 John Peter Zenger,40.816406,-73.92329
P.S. 016 Wakefield,40.902205,-73.854829
2195 ANDREWS AVENUE CONSOLIDATED LOCATION,40.85881,-73.909746
P.S. 291,40.85881,-73.909746
P.S. X015 Institute for Environmental Learning,40.85881,-73.909746
P.S. X014 Senator John Calandra,40.835779,-73.825735
P.S. X012 Lewis and Clark School,40.840145,-73.844419
P.S. 011 Highbridge,40.839378,-73.925714
P.S. 9 Ryer Avenue Elementary School,40.857067,-73.898936
P.S. 008 Issac Varian,40.872612,-73.883574
P.S. 006 West Farms,40.840755,-73.881707
PS 5 Port Morris,40.813728,-73.908886
1701 FULTON AVENUE CONSOLIDATED LOCATION,40.840891,-73.898166
P.S. 023 The New Children's School,40.85294,-73.894742
Icahn Charter School 6,40.840891,-73.898166
Leadership Institute,40.840891,-73.898166
P.S./M.S. 004 Crotona Park West,40.840891,-73.898166
P.S. 3 Raul Julia Micro Society,40.849897,-73.892289
1363 FULTON AVENUE CONSOLIDATED LOCATION,40.833665,-73.902499
Bronx Center for Science and Mathematics,40.833665,-73.902499
Eximius College Preparatory Academy: A College Boa,40.833665,-73.902499
P.S. 001 Courtlandt School,40.818816,-73.91901
The Michael J. Petrides School,40.608517,-74.102078
